run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var
0,0,0.4756,0.564,0.5772,11.72,183.5
0,1,0.4756,0.564,0.5772,11.72,183.5
0,2,0.4806,0.5895,0.6174,24.52,430.88
0,3,0.4948,0.6157,0.6309,35.94,782.63
0,4,0.5029,0.633,0.6376,40.74,1023.5
0,5,0.5077,0.6547,0.6376,42.25,1220.35
0,6,0.5103,0.6689,0.6376,40.55,1332.07
0,7,0.5124,0.6861,0.651,39.11,1373.59
0,8,0.5152,0.6936,0.6577,37.94,1383.58
0,9,0.517,0.6981,0.6711,36.15,1392.79
0,10,0.5173,0.7019,0.6913,35.45,1429.38
0,11,0.518,0.7034,0.6846,34.29,1445.08
0,12,0.5184,0.7071,0.6846,33.21,1460.4
0,13,0.5185,0.7154,0.6913,32.72,1505.6
0,14,0.5185,0.7199,0.6913,31.94,1554.17
0,15,0.5187,0.7236,0.6913,30.93,1605.84
0,16,0.5186,0.7243,0.698,30.74,1722.49
0,17,0.5182,0.7288,0.698,30.52,1887.51
0,18,0.5179,0.7363,0.698,30.2,2045.73
0,19,0.5175,0.7393,0.698,29.89,2226.49
0,20,0.5167,0.7431,0.698,29.94,2518.02
0,21,0.5162,0.7506,0.698,29.79,2850.12
0,22,0.5153,0.7558,0.698,29.82,3237.55
0,23,0.5149,0.7618,0.698,29.58,3700.51
0,24,0.5146,0.7693,0.698,29.43,4172.53
0,25,0.5142,0.776,0.698,29.18,4630.76
0,26,0.5136,0.782,0.698,28.97,5139.34
0,27,0.5131,0.7895,0.7047,28.93,5695.91
0,28,0.5128,0.7955,0.7047,28.84,6251.17
0,29,0.512,0.7993,0.7047,28.97,6857.25
0,30,0.5117,0.806,0.7047,29.21,7418.47
0,31,0.5115,0.8097,0.7047,28.95,7947.85
0,32,0.511,0.812,0.7047,28.85,8435.15
0,33,0.5108,0.815,0.7047,28.95,8920.69
0,34,0.5107,0.818,0.7047,28.74,9332.65
0,35,0.5105,0.824,0.7047,28.58,9776.35
0,36,0.5101,0.8285,0.7047,28.72,10163.51
0,37,0.5097,0.8367,0.7047,28.67,10516.2
0,38,0.5095,0.8412,0.7047,28.42,10820.19
0,39,0.5092,0.8449,0.7047,28.42,11059.67
0,40,0.509,0.8487,0.7047,28.4,11238.26
0,41,0.5088,0.8539,0.698,28.17,11427.8
0,42,0.5085,0.8539,0.7047,28.15,11595.92
0,43,0.5086,0.8554,0.7047,27.91,11753.78
0,44,0.5086,0.8584,0.7047,27.75,11916.71
0,45,0.5083,0.8592,0.7047,27.69,12050.84
0,46,0.5083,0.8629,0.6913,27.54,12146.59
0,47,0.5081,0.8682,0.6913,27.35,12259.56
0,48,0.5081,0.8689,0.6913,27.18,12338.08
0,49,0.5081,0.8704,0.6913,27.0,12422.23
0,50,0.508,0.8734,0.698,26.84,12508.28
0,51,0.5079,0.8742,0.698,26.79,12553.85
0,52,0.5078,0.8757,0.698,26.67,12575.1
0,53,0.5077,0.8787,0.698,26.53,12618.46
0,54,0.5076,0.8794,0.6913,26.32,12674.61
0,55,0.5076,0.8839,0.6913,26.31,12714.32
0,56,0.5075,0.8869,0.698,26.09,12775.19
0,57,0.5074,0.8891,0.6913,25.91,12806.58
0,58,0.5074,0.8906,0.698,25.75,12863.05
0,59,0.5074,0.8906,0.698,25.64,12891.6
0,60,0.5075,0.8959,0.698,25.49,12912.06
0,61,0.5075,0.8966,0.698,25.31,12946.98
0,62,0.5075,0.8981,0.698,25.16,12974.81
0,63,0.5074,0.8989,0.698,24.98,12978.71
0,64,0.5074,0.9019,0.698,24.95,12989.61
0,65,0.5075,0.9049,0.698,24.78,12990.96
0,66,0.5075,0.9064,0.6913,24.62,12977.0
0,67,0.5074,0.9086,0.6913,24.42,12947.05
0,68,0.5074,0.9086,0.6913,24.25,12930.17
0,69,0.5074,0.9109,0.6913,24.14,12917.89
0,70,0.5075,0.9146,0.6913,24.0,12891.63
0,71,0.5075,0.9146,0.6913,23.91,12885.98
0,72,0.5075,0.9161,0.6913,23.76,12871.17
0,73,0.5076,0.9176,0.6913,23.61,12851.61
0,74,0.5076,0.9191,0.6913,23.55,12822.06
0,75,0.5075,0.9199,0.6913,23.38,12786.89
0,76,0.5075,0.9221,0.6913,23.28,12765.84
0,77,0.5076,0.9236,0.6913,23.14,12737.87
0,78,0.5076,0.9251,0.6913,23.0,12693.26
0,79,0.5076,0.9258,0.6913,22.87,12666.15
0,80,0.5077,0.9281,0.6913,22.74,12616.38
0,81,0.5076,0.9288,0.6913,22.59,12557.97
0,82,0.5076,0.9296,0.6913,22.45,12507.34
0,83,0.5076,0.9296,0.6846,22.32,12457.31
0,84,0.5077,0.9303,0.6913,22.22,12409.21
0,85,0.5076,0.9311,0.6913,22.1,12364.78
0,86,0.5076,0.9311,0.6846,21.96,12324.55
0,87,0.5077,0.9318,0.698,21.87,12280.76
0,88,0.5077,0.9333,0.6913,21.73,12230.83
0,89,0.5077,0.9341,0.6913,21.6,12181.35
0,90,0.5077,0.9356,0.698,21.49,12138.85
0,91,0.5077,0.9363,0.6913,21.42,12088.64
0,92,0.5077,0.9363,0.698,21.33,12042.96
0,93,0.5077,0.9371,0.698,21.22,11992.03
0,94,0.5077,0.9378,0.6913,21.11,11931.1
0,95,0.5077,0.9393,0.6913,21.01,11881.5
0,96,0.5077,0.9386,0.698,20.93,11828.78
0,97,0.5078,0.9393,0.698,20.82,11781.8
0,98,0.5078,0.9393,0.698,20.73,11728.65
0,99,0.5079,0.9401,0.698,20.64,11683.27
